,clouds.all,coord.lat,coord.lon,dt,main.humidity,main.temp_max,name,sys.country,wind.speed
187,40,37.63,-1.0,1554221129,68,72.0,Cartagena,ES,11.41
188,20,22.89,-109.91,1554221141,40,80.01,Cabo San Lucas,MX,7.18
189,0,9.49,50.81,1554221332,100,80.24,Bandarbeyla,SO,9.08
190,40,37.89,58.52,1554217200,60,68.0,Annau,TM,4.7
191,92,36.37,30.29,1554221332,94,43.97,Kumluca,TR,0.69
192,0,43.9,22.28,1554221332,52,56.3,Zajecar,RS,11.54
193,20,43.52,20.24,1554219000,29,66.2,Mana,RS,11.41
194,75,26.35,127.87,1554219000,48,64.4,Gushikawa,JP,5.82
195,0,-42.78,147.06,1554221295,62,59.0,New Norfolk,AU,10.29
196,20,-8.83,13.24,1554217200,74,87.8,Luanda,AO,8.05
197,36,37.17,-99.65,1554221225,59,47.21,Sitka,US,9.75
198,1,30.3,-99.24,1554221253,38,61.0,Harper,US,10.29
199,0,63.44,-20.27,1554217200,59,33.8,Vestmannaeyjar,IS,26.4
200,40,38.52,-28.7,1554219000,59,60.8,Ribeira Grande,PT,16.11
201,8,5.94,-56.99,1554221336,84,83.93,Nieuw Nickerie,SR,11.54
202,90,39.95,-94.76,1554221123,69,46.99,Kodiak,US,10.29
203,0,59.7,30.79,1554221136,44,41.0,Nikolskoye,RU,11.18
204,12,11.0,122.67,1554221240,83,77.18,Dingle,PH,11.21
205,48,18.53,98.94,1554220812,45,87.8,Pa Sang,TH,3.36
206,8,-0.9,119.87,1554221337,95,65.75,Palu,ID,1.59
207,76,8.2,-59.78,1554221337,80,80.33,Mabaruma,GY,5.73
208,0,43.56,6.97,1554221283,59,64.4,Saint-Joseph,FR,4.7
209,0,62.23,-6.59,1554218400,69,37.4,Klaksvik,FO,20.8
210,0,52.12,9.98,1554221321,42,63.0,Marienburg,DE,12.75
211,0,55.75,38.0,1554221140,35,44.01,Zheleznodorozhnyy,RU,8.95
212,0,57.84,108.35,1554221338,68,25.79,Alekseyevsk,RU,5.06
213,90,45.36,-85.1,1554221336,93,37.99,Bay Shore,US,3.36
214,75,78.22,15.63,1554218400,72,10.4,Longyearbyen,NO,3.36
215,20,20.87,-156.68,1554221079,69,73.4,Lahaina,US,9.17
216,76,-2.67,141.3,1554221339,100,83.03,Vanimo,PG,19.04
217,0,3.94,41.86,1554221339,20,99.59,Mandera,ET,3.27
218,92,61.99,-49.67,1554221340,83,36.68,Paamiut,GL,54.16
219,75,-28.65,153.62,1554221116,93,66.2,Byron Bay,AU,11.41
220,40,34.92,32.53,1554220865,82,60.8,Lasa,CY,4.7
221,90,-7.84,-79.15,1554217800,94,68.0,Chicama,PE,8.05
222,0,12.35,29.25,1554221274,15,91.58,Abu Zabad,SD,11.43
223,0,49.46,11.54,1554221275,30,69.01,Thalheim,DE,5.82
224,12,13.76,-10.85,1554221341,29,103.01,Mahina,ML,3.94
225,12,63.9,122.77,1554221341,78,24.26,Kysyl-Syr,RU,5.73
226,0,10.57,72.64,1554221278,100,84.2,Kavaratti,IN,9.64
